"cohort_start_date","dose","vaccination_campaign","n_dose_day"
2024-01-11,7,"a_2023",48
2024-01-11,8,"a_2023",5
2024-01-12,4,"a_2023",9
2024-01-12,5,"a_2023",110
2024-01-12,6,"a_2023",41
2024-01-12,7,"a_2023",39
2024-01-12,8,"a_2023",5
2024-01-13,3,"a_2023",5
2024-01-13,4,"a_2023",5
2024-01-13,5,"a_2023",43
2024-01-13,6,"a_2023",16
2024-01-13,7,"a_2023",39
2024-01-13,8,"a_2023",5
2024-01-14,4,"a_2023",7
2024-01-14,5,"a_2023",24
2024-01-14,6,"a_2023",9
2024-01-14,7,"a_2023",5
2024-01-15,3,"a_2023",5
2024-01-15,4,"a_2023",5
2024-01-15,5,"a_2023",118
2024-01-15,6,"a_2023",45
2024-01-15,7,"a_2023",87
2024-01-16,3,"a_2023",5
2024-01-16,4,"a_2023",15
2024-01-16,5,"a_2023",157
2024-01-16,6,"a_2023",37
2024-01-16,7,"a_2023",60
2024-01-16,8,"a_2023",5
2024-01-16,9,"a_2023",5
2024-01-17,4,"a_2023",5
2024-01-17,5,"a_2023",107
2024-01-17,6,"a_2023",18
2024-01-17,7,"a_2023",16
2024-01-18,3,"a_2023",5
2024-01-18,4,"a_2023",5
2024-01-18,5,"a_2023",113
2024-01-18,6,"a_2023",16
2024-01-18,7,"a_2023",21
2024-01-19,3,"a_2023",5
2024-01-19,4,"a_2023",7
2024-01-19,5,"a_2023",76
2024-01-19,6,"a_2023",28
2024-01-19,7,"a_2023",40
2024-01-19,8,"a_2023",5
2024-01-19,9,"a_2023",5
2024-01-20,3,"a_2023",5
2024-01-20,4,"a_2023",6
2024-01-20,5,"a_2023",172
2024-01-20,6,"a_2023",9
2024-01-20,7,"a_2023",7
2024-01-20,8,"a_2023",5
2024-01-21,4,"a_2023",5
2024-01-21,5,"a_2023",10
2024-01-21,6,"a_2023",5
2024-01-21,7,"a_2023",5
2024-01-22,3,"a_2023",5
2024-01-22,4,"a_2023",6
2024-01-22,5,"a_2023",53
2024-01-22,6,"a_2023",14
2024-01-22,7,"a_2023",23
2024-01-22,8,"a_2023",5
2024-01-23,4,"a_2023",7
2024-01-23,5,"a_2023",78
2024-01-23,6,"a_2023",14
2024-01-23,7,"a_2023",12
2024-01-23,8,"a_2023",5
2024-01-24,3,"a_2023",5
2024-01-24,4,"a_2023",5
2024-01-24,5,"a_2023",50
2024-01-24,6,"a_2023",14
2024-01-24,7,"a_2023",21
2024-01-24,8,"a_2023",5
2024-01-25,3,"a_2023",5
2024-01-25,4,"a_2023",7
2024-01-25,5,"a_2023",64
2024-01-25,6,"a_2023",21
2024-01-25,7,"a_2023",26
2024-01-25,8,"a_2023",5
2024-01-26,4,"a_2023",7
2024-01-26,5,"a_2023",47
2024-01-26,6,"a_2023",17
2024-01-26,7,"a_2023",31
2024-01-26,8,"a_2023",7
2024-01-27,3,"a_2023",5
2024-01-27,4,"a_2023",6
2024-01-27,5,"a_2023",75
2024-01-27,6,"a_2023",11
2024-01-27,7,"a_2023",12
2024-01-27,8,"a_2023",5
2024-01-28,4,"a_2023",5
2024-01-28,5,"a_2023",11
2024-01-28,6,"a_2023",5
2024-01-28,7,"a_2023",5
2024-01-29,3,"a_2023",5
2024-01-29,4,"a_2023",5
2024-01-29,5,"a_2023",56
2024-01-29,6,"a_2023",32
2024-01-29,7,"a_2023",31
2024-01-29,8,"a_2023",19
2024-01-30,4,"a_2023",5
2024-01-30,5,"a_2023",40
2024-01-30,6,"a_2023",14
2024-01-30,7,"a_2023",23
2024-01-31,3,"a_2023",5
2024-01-31,4,"a_2023",6
2024-01-31,5,"a_2023",58
2024-01-31,6,"a_2023",16
2024-01-31,7,"a_2023",27
2024-04-15,3,"s_2024",5
2024-04-15,4,"s_2024",8
2024-04-15,5,"s_2024",22
2024-04-15,6,"s_2024",278
2024-04-15,7,"s_2024",544
2024-04-15,8,"s_2024",2579
2024-04-15,9,"s_2024",124
2024-04-15,10,"s_2024",5
2024-04-16,3,"s_2024",26
2024-04-16,4,"s_2024",158
2024-04-16,5,"s_2024",264
